"","issn_merge","year","rank","sourceid","title","type","issn","sjr","sjr_best_quartile","h_index","total_docs_year","total_docs_3years","total_refs","total_cites_3years","citable_docs_3years","cites_doc_2years","ref_doc","country","region","publisher","coverage","categories","areas","issn_short","Journal","Issn","Eissn","Description","Publisher","Societies","Author.guideline.url","Data.citation.score","Data.citation.justification","Data.transparency.score","Data.transparency.justification","Analysis.code.transparency.score","Analysis.code.transparency.justification","Materials.transparency.score","Materials.transparency.justification","Design...analysis.reporting.guidelines.score","Design...analysis.reporting.guidelines.justification","Study.preregistration.score","Study.preregistration.justification","Analysis.plan.preregistration.score","Analysis.plan.preregistration.justification","Replication.score","Replication.justification","Registered.reports...publication.bias.score","Registered.reports...publication.bias.justification","Open.science.badges.score","Open.science.badges.justification","top_factor"
"22773","10943501","2023",5394,27188,"Language Learning and Technology","journal","10943501",0.882,"Q1",91,0,52,0,210,51,2.26,0,"United States","Northern America","University of Hawaii Press","1997-1998, 2000-2021","Education (Q1); Linguistics and Language (Q1); Computer Science Applications (Q2)","Computer Science; Social Sciences","10943501","Language Learning & Technology","1094-3501","","""Language Learning & Technology (LLT) is a free, fully-refereed, open journal which has been published exclusively online since July 1997. ""","","","https://www.lltjournal.org/submission-guidelines/",0,"No mention.",0,"""LLT encourages authors to consider uploading their data collection materials to the IRIS database.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"22808","10949968","2023",542,22928,"Journal of Interactive Marketing","journal","10949968, 15206653",3.355,"Q1",126,25,99,2460,1377,99,9.19,98.4,"United States","Northern America","SAGE Publications Inc.","1997-2023","Business and International Management (Q1); Marketing (Q1)","Business, Management and Accounting","10949968","Journal of Interactive Marketing","1094-9968","1520-6653","","Elsevier","","https://www.elsevier.com/journals/journal-of-interactive-marketing/1094-9968/guide-for-authors",1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication
where appropriate, and enables you to interlink the data with your published articles. """,0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,""" To facilitate
reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"22821","1095158X","2023",7847,18701,"Psychiatric Rehabilitation Journal","journal","1095158X, 15593126",0.673,"Q1",76,45,144,1879,313,141,1.98,41.76,"United States","Northern America","Boston University","1996-2023","Health Professions (miscellaneous) (Q1); Rehabilitation (Q1); Psychiatry and Mental Health (Q2)","Health Professions; Medicine","1095158X","Psychiatric Rehabilitation Journal","1095-158X","1559-3126","""Psychiatric Rehabilitation Journal (PRJ) is a quarterly journal publishing original, peer-reviewed scholarly work that advances the evidence for and understanding of psychosocial treatment and recovery of people with psychiatric disabilities, consistent with the principles and values of psychiatric rehabilitation and person-centered care. Manuscripts published in PRJ have implications for the interdisciplinary practice of psychiatric rehabilitation.""","American Psychological Association","American Psychological Association","https://www.apa.org/pubs/journals/prj/index?tab=4",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"22854","10957103","2023",1703,26950,"Journal of Colloid and Interface Science","journal","10957103, 00219797",1.76,"Q1",273,2293,5340,130117,52106,5340,10.06,56.75,"United States","Northern America","Academic Press Inc.","1965-2024","Biomaterials (Q1); Colloid and Surface Chemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Surfaces, Coatings and Films (Q1)","Chemical Engineering; Materials Science","10957103","Journal of Colloid and Interface Science","1095-7103","0021-9797","""The Journal of Colloid and Interface Science publishes original research findings on fundamental principles of colloid and interface science, as well as conceptually novel applications of these in advanced materials, nanomedicine, energy, environmental technologies, catalysis, and related fields.""","Elsevier","","https://www.elsevier.com/journals/journal-of-colloid-and-interface-science/0021-9797/guide-for-authors",1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List.""",2,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""This journal enables you to publish research objects related to your original research  such as data, methods, protocols, software and hardware  as an additional paper in a Research Elements journal.""",0,"""This journal enables you to publish research objects related to your original research  such as data, methods, protocols, software and hardware  as an additional paper in a Research Elements journal.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",3
"22892","10958622","2023",4254,12490,"Journal of Fluids and Structures","journal","10958622, 08899746",1.027,"Q1",127,165,536,7207,2104,535,3.85,43.68,"United States","Northern America","Academic Press","1987-2023","Mechanical Engineering (Q1)","Engineering","10958622","Journal of Fluids and Structures","1095-8622","0889-9746","""The Journal of Fluids and Structures serves as a focal point and a forum for the exchange of ideas, for the many kinds of specialists and practitioners concerned with fluidstructure interactions and the dynamics of systems related thereto, in any field. One of its aims is to foster the crossfertilization of ideas, methods and techniques in the various disciplines involved. The journal publishes papers that present original and significant contributions on all aspects of the mechanical interactions between fluids and solids, regardless of scale.""","Elsevier","","https://www.elsevier.com/journals/journal-of-fluids-and-structures/0889-9746/guide-for-authors",1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List.""",2,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""This journal enables you to publish research objects related to your original research  such as data, methods, protocols, software and hardware  as an additional paper in a Research Elements journal.""",0,"""This journal enables you to publish research objects related to your original research  such as data, methods, protocols, software and hardware  as an additional paper in a Research Elements journal.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",3
"22915","10959203","2023",56,23571,"Science","journal","10959203, 00368075",11.902,"Q1",1336,2181,8261,42348,117779,4229,13.46,19.42,"United States","Northern America","American Association for the Advancement of Science","1880-1881, 1883-2023","History and Philosophy of Science (Q1); Multidisciplinary (Q1)","Arts and Humanities; Multidisciplinary","10959203","Science","1095-9203","","Science is a leading outlet for scientific news, commentary, and cutting-edge research. Through its print and online incarnations, Science reaches an estimated worldwide readership of more than one million. Science’s authorship is global too, and its articles consistently rank among the world's most cited research.

Science serves as a forum for discussion of important issues related to the advancement of science by publishing material on which a consensus has been reached as well as including the presentation of minority or conflicting points of view. Accordingly, all articles published in Science—including editorials, news and comment, and book reviews—are signed and reflect the individual views of the authors and not official points of view adopted by AAAS or the institutions with which the authors are affiliated.

Science seeks to publish those papers that are most influential in their fields or across fields and that will significantly advance scientific understanding. Selected papers should present novel and broadly important data, syntheses, or concepts. They should merit recognition by the wider scientific community and general public provided by publication in Science, beyond that provided by specialty journals.

Science welcomes submissions from all fields of science and from any source. The editors are committed to the prompt evaluation and publication of submitted papers while upholding high standards that support reproducibility of published research. Science is published weekly; selected papers are published online ahead of print.","AAAS","","https://www.sciencemag.org/authors/science-journals-editorial-policies",2,"""All data, program code, and other methods must be appropriately cited using digital object identifiers (DOIs), journal citations, or other persistent identifiers.""",2,"""All data used in the analysis must be available to any researcher for purposes of reproducing or extending the analysis. Data must be available in the paper or deposited in a community special-purpose repository or a general-purpose repository such as Dryad (see Data and Code Deposition). Exceptional circumstances requiring special treatment, such as protection of personal privacy or purchase of datasets from third-party sources, should be discussed with the editor as early as possible (no later than at the manuscript revision stage) and spelled out explicitly in the acknowledgments""",1,"""Author-written source code that is not yet publicly available should be archived in a permanent public repository prior to publication and likewise cited (see Data and Code Deposition). In exceptional cases where for example, security concerns, legal restrictions, or proprietary hardware preclude sharing of custom code, an alternate means of ensuring reproducibility must be arranged with the editor. Our preferred option in such exceptional cases is for the Materials and methods section to include pseudocode that fully clarifies the underlying algorithms; this pseudocode will be subject to peer review and may require further elaboration in accord with reviewers’ feedback. As with data, the reason(s) for the code restrictions in these special cases should be explained clearly in the acknowledgments.""",2,"""Materials/samples used in the analysis must be made available to any researcher for purposes of directly replicating the procedure.""",1,"""The Science journals encourage authors to follow relevant standards for their field for reporting key aspects of the research design and analysis. Authors should report which standards were followed and note any deviations from the guidelines. Where applicable, note which guidelines were followed.  A chart providing links to major biomedical research reporting guidelines is available at the U.S. National Library of Medicine. Many of these can be found at the EQUATOR website. Other guidelines may be found at the relevant society website: for example the American Chemical Society gives standards for the characterization of organic and inorganic molecular compounds.""",0,"""If the study that is submitted to a Science journal for publication was preregistered, such as at the Center for Open Science’s Open Science Framework or ClinicalTrials.gov, authors should provide a link to the registration of the study upon submission of the paper to a Science journal.""",0,"""If the analysis plan was preregistered in an independent institutional registry, authors should provide a link to the registration of the analysis plan upon submission of the paper to a Science journal.""",1,"""The Science journals encourage the submission of replication studies that provide new insights into previously published results. We hold replication studies to the same standards as other content submitted to the journals. """,0,"",0,"",9
"22942","10960929","2023",5168,25218,"Toxicological Sciences","journal","10960929, 10966080",0.911,"Q1",207,130,487,7489,1765,469,3.42,57.61,"United Kingdom","Western Europe","Oxford University Press","1981-2023","Toxicology (Q1)","Pharmacology, Toxicology and Pharmaceutics","10960929","Toxicological Sciences","1096-0929","1096-6080","""The scope of Toxicological Sciences is focused on a broad spectrum of impactful toxicological research that will advance the multidisciplinary field of toxicology ranging from basic research to model development and application, and decision making.""","Oxford University Press","","https://academic.oup.com/toxsci/pages/About",1,"""Toxicological Sciences supports the Force 11 Data Citation Principles and requires that all publicly available datasets be fully referenced in the reference list with an accession number or unique identifier such as a digital object identifier (DOI).""",0,"""To increase transparency and reproducibility, authors are encouraged to make original or raw data, images, and/or code available to the general scientific public as part of their publication by posting to the Dryad Digital Repository or a comparable publicly available database prior to manuscript submission."" No DAS required.",0,"""To increase transparency and reproducibility, authors are encouraged to make original or raw data, images, and/or code available to the general scientific public as part of their publication by posting to the Dryad Digital Repository or a comparable publicly available database prior to manuscript submission."" No DAS required.",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",1
"22958","10963480","2023",2768,16800154721,"Journal of Hospitality and Tourism Research","journal","10963480, 15577554",1.325,"Q1",88,124,227,9937,1416,218,5.31,80.14,"United States","Northern America","SAGE Publications Inc.","1976-1981, 1983-1985, 1987-2023","Education (Q1); Tourism, Leisure and Hospitality Management (Q1)","Business, Management and Accounting; Social Sciences","10963480","Journal of Hospitality & Tourism Research","1096-3480","1557-7554","""Established in 1976, the Journal of Hospitality & Tourism Research (JHTR) plays a major role in incubating, influencing, and inspiring hospitality and tourism research. JHTR publishes original research that clearly advances theoretical development and offers practical value for hospitality and tourism ecosystems.""","SAGE","","https://journals.sagepub.com/author-instructions/JHT",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"""JHTR publications are expected to be Innovative, Meaningful, Practically relevant, Academically rigorous, Crossdisciplinary, and Theory-focused.""",0,"No mention.",0
"22989","10967176","2023",1555,16339,"Metabolic Engineering","journal","10967176, 10967184",1.853,"Q1",145,130,404,8364,3485,401,7.78,64.34,"United States","Northern America","Academic Press Inc.","1999-2023","Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology","10967176","Metabolic Engineering","1096-7176","1096-7184","""Metabolic Engineering (MBE) is devoted to the publication of original research papers on the directed modulation of metabolic pathways for metabolite over production or the improvement of cellular properties. Papers describing native pathway engineering and synthesis of heterologous pathways for converting microorganisms into microbial cell factories are also welcome.""","Elsevier","","https://www.elsevier.com/journals/metabolic-engineering/1096-7176/guide-for-authors",1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.'",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention",0,"No mention.",1
"22998","10967516","2023",983,16965,"Internet and Higher Education","journal","10967516",2.426,"Q1",117,18,76,1500,827,75,9.75,83.33,"United Kingdom","Western Europe","Elsevier B.V.","1998-2024","Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)","Computer Science; Social Sciences","10967516","Internet and Higher Education","1096-7516","1873-5525","""The Internet and Higher Education is a quarterly journal devoted to addressing contemporary issues and future developments related to Internet-enabled learning and teaching in higher education settings. It is a peer-reviewed journal intended to be a vehicle for scholarly presentation and dissemination of contributions significantly addressing innovative uses of Internet technology in learning and teaching, and reporting on research to demonstrate the effects of the Internet on the quality and/or the equity of learning and teaching in higher education contexts.""","Elsevier","","https://www.elsevier.com/journals/the-internet-and-higher-education/1096-7516/guide-for-authors",1,"Journal encourages data citation.",0,"Though the journal encourages and enables data sharing and data statements, such actions are ""encouraged"" by the journal. For Level 1, the use of data availability statements must be required.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"23037","10976256","2023",52,17436,"Nature Neuroscience","journal","10976256, 15461726",12.261,"Q1",479,281,622,12439,10101,497,14.93,44.27,"United Kingdom","Western Europe","Nature Research","1998-2023","Neuroscience (miscellaneous) (Q1)","Neuroscience","10976256","Nature Neuroscience","1097-6256","1546-1726","""Nature Neuroscience is a multidisciplinary journal that publishes papers of the highest quality and significance in all areas of neuroscience. The editors welcome contributions in molecular, cellular, systems and cognitive neuroscience, as well as psychophysics, computational modeling and diseases of the nervous system. No area is excluded from consideration, although priority is given to studies that provide fundamental insights into the functioning of the nervous system.""","Nature","","https://www.nature.com/neuro/editorial-policies/reporting-standards",1,"""Datasets that have been deposited in repositories should be included as formal citations in the article reference list. This includes datasets generated during the study as well as existing datasets analyzed during the study.""",1,"""All published manuscripts reporting original research in Nature Portfolio journals must include a data availability statement.""",3,"""Nature journals undertake peer review of custom code or mathematical algorithm, and software, when it is central to the manuscript. For code/algorithm peer review, we require sharing of code/algorithm during the peer review process with editors and reviewers and inclusion of a Code Availability section in the manuscript upon publication.""",1,"""A condition of publication in a Nature Portfolio journal is that authors are required to make unique materials promptly available to others without undue qualifications. It is acceptable to request reasonable payment to cover costs of distribution and reagents may be made available via commercial or non-commercial third party providers. Any restrictions on materials availability, including if materials are to be distributed by a for-profit company, must be clearly stated in the paper.""",2,"""Nature Portfolio journals aim to improve the transparency of reporting and reproducibility of published results across all areas of science. Before peer review, the corresponding author must complete an editorial policy checklist to ensure compliance with Nature Portfolio editorial policies; where relevant, manuscripts sent for review must include completed reporting summary documents""",0,"""Nature Portfolio journals support study pre-registration (including clinical trials) and pre-registration of analysis plans in public repositories; details of pre-registration should be provided with submission.""",0,"""Nature Portfolio journals support study pre-registration (including clinical trials) and pre-registration of analysis plans in public repositories; details of pre-registration should be provided with submission.""",1,"""Nature Portfolio appreciates the value of replication of previous findings. We welcome submission of replication studies that provide new insights into previously published results and will evaluate these submissions with the same editorial standards we apply to other submissions.""",0,"No mention.",0,"No mention.",9
"23047","10982140","2023",4721,24734,"American Journal of Evaluation","journal","10982140",0.965,"Q1",68,55,115,2269,276,105,1.98,41.25,"United States","Northern America","SAGE Publications Inc.","1981-2023","Business and International Management (Q1); Education (Q1); Health (social science) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1); Strategy and Management (Q2)","Business, Management and Accounting; Psychology; Social Sciences","10982140","American Journal of Evaluation","1098-2140","1557-0878","""AJE features broad, multidisciplinary perspectives on issues in evaluation relevant to education, public administration, behavioral sciences, human services, health sciences, sociology, criminology and other disciplines and professional practice fields.""","SAGE","","https://journals.sagepub.com/author-instructions/AJE",1,"""Authors should also follow data citation principles.""",0,"""The Journal encourages authors to share their research data in a suitable public repository subject to ethical considerations and where data is included, to add a data accessibility statement in their manuscript file.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",1
"23073","10983007","2023",3379,30047,"Journal of Positive Behavior Interventions","journal","10983007, 15384772",1.181,"Q1",71,26,72,1060,232,69,2.73,40.77,"United States","Northern America","SAGE Publications Inc.","1999-2023","Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1)","Medicine; Psychology","10983007","Journal of Positive Behavior Interventions","1098-3007","1538-4772","""The aim of the Journal of Positive Behavior Interventions is to expand the knowledge and practice of effective behavioral support in school, home, and community settings, with a focus on comprehensive outcomes in the lives of children, youth, and adults. The goal is to extend the empirical database; enhance the conceptual framework; and provide a forum for researchers, professionals, families, and policymakers. Articles are relevant for the development and application of behavioral support.offers sound, research-based principles of positive behavior support for use in school, home and community settings with people with challenges in behavioral adaptation. Regular features include empirical research; discussion, literature reviews, and conceptual papers; programs, practices, and innovations; forum; and media reviews. Published by the Hammill Institute on Disabilities and SAGE in association with the Association for Positive Behavior Support.""","SAGE","","https://perma.cc/U8X6-SS4Q",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"23106","10990798","2023",11457,12123,"Behavioral Sciences and the Law","journal","10990798, 07353936",0.468,"Q1",84,31,135,1906,248,131,1.4,61.48,"United Kingdom","Western Europe","John Wiley and Sons Ltd","1983-2023","Law (Q1); Clinical Psychology (Q3); Medicine (miscellaneous) (Q3); Psychiatry and Mental Health (Q3)","Medicine; Psychology; Social Sciences","10990798","Behavioral Sciences and the Law","1099-0798","0735-3936","""Behavioral Sciences & the Law is a peer reviewed journal which provides current and comprehensive information from throughout the world on topics at the interface of the law and the behavioral sciences. The journal balances theoretical, mental health, legal, and research writings to provide a broad perspective on pertinent psycho-legal topics.""","Wiley","","https://onlinelibrary.wiley.com/page/journal/10990798/homepage/forauthors.html",1,"""In recognition of the significance of data as an output of research effort, Wiley has endorsed the FORCE11 Data Citation Principles. Data must be cited in the same way as article, book, and web citations and authors are required to include data citations as part of their reference list.""",0,"""The journal encourages authors to share the data and other artifacts supporting the results in the paper by archiving it in an appropriate public repository. Authors should include a data accessibility statement, including a link to the repository they have used, in order that this statement can be published alongside their article."" Not required.",0,"No mention",0,"No mention",1,"""Please review Wiley’s policies surrounding human studies, animal studies, clinical trial registration, biosecurity, and research reporting guidelines.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",2
"23137","10991166","2023",3346,29164,"International Journal of Geriatric Psychiatry","journal","10991166, 08856230",1.187,"Q1",149,185,584,7827,2052,514,3.49,42.31,"United Kingdom","Western Europe","John Wiley and Sons Ltd","1986-2023","Geriatrics and Gerontology (Q1); Psychiatry and Mental Health (Q1)","Medicine","10991166","International Journal of Geriatric Psychiatry","1099-1166","0885-6230","""The International Journal of Geriatric Psychiatry aims to communicate the results of original research in the causes, treatment and care of all forms of mental disorder which affect the elderly. The Journal is of interest to psychiatrists, psychologists, social scientists, nurses and others engaged in therapeutic professions, together with general neurobiological researchers.""","Wiley","","https://onlinelibrary.wiley.com/journal/10991166",1,"""Please also cite the data you have shared, like you would cite other sources that your article refers to, in your references section. "" Gives example.",1,"All accepted manuscripts are required to publish a data availability statement to confirm the presence or absence of shared data.",0,"No mention.",0,"No mention.",1,"Presents reporting guidelines.",0,"Includes requirements for registered, clinical studies.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",3
"23161","10991255","2023",1226,28964,"Journal of Applied Econometrics","journal","10991255, 08837252",2.13,"Q1",118,62,175,2509,479,175,2.54,40.47,"United Kingdom","Western Europe","John Wiley and Sons Ltd","1986-2023","Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)","Economics, Econometrics and Finance; Social Sciences","10991255","Journal of Applied Econometrics","1099-1255","1099-1255","""The Journal of Applied Econometrics is an international journal published bi-monthly, plus 1 additional issue (total 7 issues). It aims to publish articles of high quality dealing with the application of existing as well as new econometric techniques to a wide variety of problems in economics and related subjects, covering topics in measurement, estimation, testing, forecasting, and policy analysis. The emphasis is on the careful and rigorous application of econometric techniques and the appropriate interpretation of the results. The economic content of the articles is stressed.""","Wiley","","https://onlinelibrary.wiley.com/page/journal/10991255/homepage/forauthors.html",0,"No mention.",2,"""Authors of accepted papers are required to deposit in electronic form a complete set of data used onto the Journal's Data Archive, unless they are confidential. In cases where there are restrictions on the dissemination of the data, the responsibility of obtaining the required permission to use the data rests with the interested investigator and not with the author.""",0,"""Authors are also encouraged to provide whatever other material is needed to ensure that their results can be replicated without excessive difficulty. This might include computer programs or technical appendices that are not part of the paper itself.""",0,"""Authors are also encouraged to provide whatever other material is needed to ensure that their results can be replicated without excessive difficulty. This might include computer programs or technical appendices that are not part of the paper itself.""",0,"No mention.",0,"No mention.",0,"No mention.",1,"""Short articles replicating empirical results from previous articles. See the additional guidelines for Replication Articles""",0,"No mention.",0,"No mention.",3
"23189","10995129","2023",712,23181,"Europace","journal","10995129, 15322092",2.895,"Q1",128,472,945,11132,4253,666,4.8,23.58,"United Kingdom","Western Europe","Oxford University Press","1999-2023","Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)","Medicine","10995129","EP Europace","1099-5129","1532-2092","""The journal aims to provide an avenue of communication of top quality European and international original scientific work and reviews in the fields of Arrhythmias, Pacing and Cellular Electrophysiology.""","Oxford University Press","","https://academic.oup.com/europace/pages/General_Instructions",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0
"23196","10999809","2023",2564,14230,"Cultural Diversity and Ethnic Minority Psychology","journal","10999809, 19390106",1.384,"Q1",98,53,248,3312,979,248,3.49,62.49,"United States","Northern America","American Psychological Association","1999-2023","Social Psychology (Q1); Sociology and Political Science (Q1)","Psychology; Social Sciences","10999809","Cultural Diversity & Ethnic Minority Psychology","1099-9809","1939-0106","""Cultural Diversity & Ethnic Minority Psychology seeks to advance the psychological science of culture, ethnicity, and race through the publication of empirical research, as well as theoretical, conceptual, and integrative review articles that will stimulate further empirical research, on basic and applied psychological issues relevant to racial and ethnic groups that have been historically subordinated, underrepresented, or underserved.""","American Psychological Association","American Psychological Association","https://www.apa.org/pubs/journals/cdp/?tab=4",2,"Guidelines state that data ""must should be appropriately cited"" is a likely typo.",1,"Availability statement required.",1,"Availability statement required.",1,"Availability statement required.",2,"Journal requires use of reporting guidelines.",1,"""Authors must, in acknowledgments or the first footnote, indicate if they did or did not preregister the research with or without an analysis plan in an independent, institutional registry.""",1,"""Authors must, in acknowledgments or the first footnote, indicate if they did or did not preregister the research with or without an analysis plan in an independent, institutional registry.""",3,"Journal accepts Registered Reports for replication studies.",3,"Journal accepts Registered Reports for novel studies.",2,"Journal offers all Open Science Badges.",17
"23237","11302399","2023",14772,27681,"Enfermeria Intensiva","journal","11302399, 15781291",0.332,"Q2",18,39,119,1120,123,85,0.93,28.72,"Spain","Western Europe","Ediciones Doyma, S.L.","1994-2023","Advanced and Specialized Nursing (Q2); Critical Care and Intensive Care Medicine (Q2); Fundamentals and Skills (Q2); Critical Care Nursing (Q3)","Medicine; Nursing","11302399","Enfermeria Intensiva","1130-2399","1578-1291","""Enfermera Intensiva (Intensive Care Nursing) is a peer reviewed journal that has been published for the past 27 years. It publishes original research articles on nursing interventions on the critically ill patient (Intensive Care, semi-critical, Emergency Department, as well outside the hospital), not only in adults, but also in newborns, infants and children in their different healthcare environments.""","Elsevier","","https://www.elsevier.com/journals/enfermeria-intensiva/1130-2399/guide-for-authors",1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.'",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"23247","11320559","2023",3195,21100378340,"Psychosocial Intervention","journal","11320559, 21734712",1.225,"Q1",32,17,50,1378,251,49,3.91,81.06,"Spain","Western Europe","Colegio Oficial de Psicologos de Madrid","2011-2023","Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Social Psychology (Q1)","Psychology","11320559","Psychosocial Intervention","1132-0559","2173-4712","""Psychosocial Intervention is a peer-reviewed journal that publishes papers in all areas relevant to Psychosocial Intervention. The Journal emphasizes an evidence-based perspective and welcomes unpublished papers reporting original basic and applied research, program evaluation, and intervention results.""","","","https://journals.copmadrid.org/pi/authors",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0
"23266","1132239X","2023",20489,17700156017,"Revista de Psicologia del Deporte","journal","1132239X",0.191,"Q4",35,104,302,3418,247,300,0.75,32.87,"Spain","Western Europe","Sociedad Revista de Psicologia del Deporte","2008-2023","Applied Psychology (Q4); Sports Science (Q4)","Health Professions; Psychology","1132239X","Revista de Psicologia del Deporte","1132-239X","","""The Revista de Psicologia del Deporte/Journal of Sport Psychology (RPD/JSP) is a peer-reviewed, open access journal aimed at publishing scientific papers based on rigorous methodologies directed to contribute to the development of the field of Sport and Exercise Psychology.""","","","https://rpd-online.com/index.php/rpd/editorialPolicies",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0
"23299","11610301","2023",3427,59988,"European Journal of Agronomy","journal","11610301",1.17,"Q1",138,282,460,17601,2635,458,5.19,62.41,"Netherlands","Western Europe","Elsevier B.V.","1993-2023","Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q1)","Agricultural and Biological Sciences","11610301","European Journal of Agronomy","1161-0301","1873-7331","""The European Journal of Agronomy, the official journal of the European Society for Agronomy, publishes original research papers reporting experimental and theoretical contributions to field-based agronomy and crop science. The journal will consider research at the field level for agricultural, horticultural and tree crops, that uses comprehensive and explanatory approaches. ""","Elsevier","","https://www.elsevier.com/journals/european-journal-of-agronomy/1161-0301/guide-for-authors",1,"""his journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. "" provides rules and examples.",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
